OBJECTID,SUBURB,GlobalID
1,Aotea,69035a6c-1624-4af8-b6b3-60b34ffc0a7d
2,Colonial Knob,8ffed50c-b52d-42f8-9f3d-1eadd960fb2b
3,Pāekakariki Hill,038bd4d7-2683-4b79-a140-46031bb4fcab
4,Mana Island,13487486-22e1-4209-8b2f-2ef64eae27b3
5,Ascot Park,7f934008-e782-4fbf-9486-6a65b81e6d8d
6,Papakōwhai,8091ae8d-2b99-4cf6-868f-8e96773f1335
7,Whitby,4986344b-891d-4e16-83f5-bb1ee56b6e14
8,Pukerua Bay,27c7e177-013d-4d08-980f-67f714dd7bb4
9,Hongoeka,9c9caca3-2378-46c3-9984-490dfd81e585
10,Plimmerton,4e01d763-e60e-4fc6-9e77-27443c984158
11,Cannons Creek,ff23b069-f022-47b7-891a-deb82b72930d
12,Waitangirua,8e1effe4-91eb-4942-9270-f3ed28a72353
13,Elsdon,49ba30c2-321f-4859-8c92-b0d3ae270824
14,Porirua City Centre,6b7df28c-c441-4dd3-88cf-935e534f512c
15,Titahi Bay,5c05447b-312e-46a9-a120-90d6155ca43d
16,Takapūwāhia,6cbbecde-e6d2-4120-b2c2-c2e8abc605b4
17,Rānui,7daa82e0-f915-4e6a-ba53-3bb4f31d80fd
18,Kenepuru,96b65138-f5f5-42ba-b92f-d3d7f1adfa99
19,Camborne,9cda9fba-5229-4b89-8e4a-526892ccd3b3
20,Paremata,f6d81289-8b77-49bf-a3b0-8f40b248494b
21,Judgeford,f9e9b0bd-0bc3-4ecf-aea6-a04338ccb1ed
22,Pāuatahanui,94112b5b-6a6d-4b3f-86df-1bb1485b4d91
